Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
How to Be Single,http://www.boxofficemojo.com/movies/?id=howtobesingle.htm,02/12/2016,Not Yet Rated,N/A,null,null,null,null,null
How to Beat the High Cost of Living,http://www.boxofficemojo.com/movies/?id=howtobeatthehighcostofliving.htm,01/01/1980,PG,105,null,null,7500000,null,null
How to Become a Detective,http://www.boxofficemojo.com/movies/?id=howtobecomeadetective.htm,06/01/1980,Unrated,N/A,null,null,7500000,null,null
How to Cook Your Life,http://www.boxofficemojo.com/movies/?id=howtocookyourlife.htm,10/26/2007,PG-13,100,8741,7,87370,286357,373727
How to Deal,http://www.boxofficemojo.com/movies/?id=howtodeal.htm,07/18/2003,PG-13,102,5809960,2319,14195227,112905,14308132
How to Draw a Bunny,http://www.boxofficemojo.com/movies/?id=howtodrawabunny.htm,03/12/2004,Unrated,90,2706,1,4658,null,null
How to Eat Fried Worms,http://www.boxofficemojo.com/movies/?id=howtoeatfriedworms.htm,08/25/2006,PG,98,4003537,1870,13040527,55787,13096314
How to Get Ahead in Advertising,http://www.boxofficemojo.com/movies/?id=howtogetaheadinadvertising.htm,05/05/1989,R,94,null,null,418053,null,null
How to Grow a Band,http://www.boxofficemojo.com/movies/?id=howtogrowaband.htm,04/13/2012,Unrated,88,5705,2,20135,null,null
How to Kill Your Neighbor's Dog,http://www.boxofficemojo.com/movies/?id=howtokillyourneighborsdog.htm,02/22/2002,R,105,18956,6,49894,n/a,49894
How to Live Forever,http://www.boxofficemojo.com/movies/?id=howtoliveforever.htm,05/13/2011,Unrated,92,3716,4,60630,null,null
How to Lose a Guy in 10 Days,http://www.boxofficemojo.com/movies/?id=howtoloseaguyin10days.htm,02/07/2003,PG-13,116,23774850,2923,105813373,71558068,177371441
How to Lose Friends and Alienate People,http://www.boxofficemojo.com/movies/?id=howtolosefriends.htm,10/03/2008,R,110,1430294,1750,2778752,16373045,19151797
How to Make an American Quilt,http://www.boxofficemojo.com/movies/?id=howtomakeanamericanquilt.htm,10/06/1995,PG-13,117,5790445,1532,23600020,17600000,41200020
How to Make Money Selling Drugs,http://www.boxofficemojo.com/movies/?id=howtomake.htm,06/26/2013,Unrated,96,9202,5,39192,null,null
How to Rob a Bank,http://www.boxofficemojo.com/movies/?id=howtorobabank.htm,02/08/2008,Unrated,81,109,1,1006,n/a,1006
How to Save a Marriage (And Ruin Your Life),http://www.boxofficemojo.com/movies/?id=howtosaveamarriage.htm,01/17/1968,Unrated,102,null,null,null,null,null
How to Save Us,http://www.boxofficemojo.com/movies/?id=howtosaveus.htm,06/05/2015,Not Yet Rated,78,null,null,null,null,null
How to Stuff a Wild Bikini,http://www.boxofficemojo.com/movies/?id=howtostuffawildbikini.htm,07/14/1965,Unrated,93,null,null,null,null,null
How to Survive a Plague,http://www.boxofficemojo.com/movies/?id=surviveaplague.htm,09/21/2012,Unrated,109,28250,15,132055,null,null
How to Train Your Dragon,http://www.boxofficemojo.com/movies/?id=howtotrainyourdragon.htm,03/26/2010,PG,98,43732319,4060,217581231,277297528,494878759
How to Train Your Dragon 2,http://www.boxofficemojo.com/movies/?id=howtotrainyourdragon2.htm,06/13/2014,PG,105,49451322,4268,177002924,441907011,618909935
How to Train Your Dragon 3,http://www.boxofficemojo.com/movies/?id=httyd3.htm,06/29/2018,Not Yet Rated,N/A,null,null,null,null,null
Howard the Duck,http://www.boxofficemojo.com/movies/?id=howardtheduck.htm,08/01/1986,PG,111,5070136,1563,16295774,21667000,37962774
Howard Zinn:You Can't Be Neutral on a Moving Train,http://www.boxofficemojo.com/movies/?id=howardzinn.htm,06/18/2004,Unrated,78,null,4,122011,null,null
Howards End,http://www.boxofficemojo.com/movies/?id=howardsend.htm,03/13/1992,PG,140,52568,547,25966555,null,null
Howl,http://www.boxofficemojo.com/movies/?id=howl.htm,09/24/2010,R,90,51185,29,617334,565924,1183258
Howl's Moving Castle,http://www.boxofficemojo.com/movies/?id=howlsmovingcastle.htm,06/10/2005,PG,119,427987,202,4711096,230473014,235184110
The Howling,http://www.boxofficemojo.com/movies/?id=howling.htm,04/10/1981,R,91,null,null,17985893,null,null
Hubble 3D,http://www.boxofficemojo.com/movies/?id=hubble3d.htm,03/19/2010,G,43,413477,151,46370134,1300333,47670467
Hudson Hawk,http://www.boxofficemojo.com/movies/?id=hudsonhawk.htm,05/24/1991,R,95,7082820,2072,17218080,null,null
The Hudsucker Proxy,http://www.boxofficemojo.com/movies/?id=hudsuckerproxy.htm,03/11/1994,PG,111,104490,126,2816518,null,null
Hugh Hefner:Playboy Activist and Rebel,http://www.boxofficemojo.com/movies/?id=hughhefner.htm,07/30/2010,R,124,10000,4,10000,null,null
Hugo,http://www.boxofficemojo.com/movies/?id=hugocabret.htm,11/23/2011,PG,127,11364505,2608,73864507,111905653,185770160
Hugo Pool,http://www.boxofficemojo.com/movies/?id=hugopool.htm,12/12/1997,R,94,6305,4,13330,null,null
Hukkle,http://www.boxofficemojo.com/movies/?id=hukkle.htm,11/14/2003,Unrated,75,null,4,53715,n/a,53715
Hulk,http://www.boxofficemojo.com/movies/?id=hulk.htm,06/20/2003,PG-13,135,62128420,3674,132177234,113183246,245360480
Hum Aapke Dil Mein Rahte Hain,http://www.boxofficemojo.com/movies/?id=humaapkedilmeinrahtehain.htm,N/A,Unrated,N/A,null,null,668678,null,null
Hum to Mohabbt Karega,http://www.boxofficemojo.com/movies/?id=humtomohabbtkarega.htm,05/26/2000,Unrated,N/A,75446,1,75446,null,null
Hum Tum,http://www.boxofficemojo.com/movies/?id=humtum.htm,05/28/2004,Unrated,170,275882,43,796641,null,null
Human Capital,http://www.boxofficemojo.com/movies/?id=humancapital.htm,01/09/2015,Unrated,111,null,11,157336,n/a,157336
Human Centipede,http://www.boxofficemojo.com/movies/?id=humancentipede.htm,04/30/2010,R,90,12424,19,181467,70740,252207
The Human Centipede 2:Full Sequence,http://www.boxofficemojo.com/movies/?id=humancentipede2.htm,10/07/2011,Unrated,88,49456,24,141877,n/a,141877
The Human Comedy,http://www.boxofficemojo.com/movies/?id=humancomedy.htm,03/02/1943,Unrated,118,null,null,null,null,null
Human Error,http://www.boxofficemojo.com/movies/?id=humanerror.htm,09/16/2005,Unrated,95,null,null,null,null,null
The Human Experience,http://www.boxofficemojo.com/movies/?id=humanexperience.htm,04/09/2010,PG-13,90,27170,5,52296,null,null
The Human Factor,http://www.boxofficemojo.com/movies/?id=humanfactor.htm,12/18/1979,R,115,null,null,376050,null,null
Human Nature,http://www.boxofficemojo.com/movies/?id=humannature.htm,04/12/2002,R,96,297340,224,705308,n/a,705308
